gene_id_human	gene_name_human	gene_id_mouse	gene_name_mouse	homology
ENSG00000122966	CIT	ENSMUSG00000029516	CIT	ortholog_one2one
ENSG00000100784	RPS6KA5	ENSMUSG00000021180	RPS6KA5	ortholog_one2one
ENSG00000055332	EIF2AK2	ENSMUSG00000024079	EIF2AK2	ortholog_one2one
ENSG00000076984	MAP2K7	ENSMUSG00000002948	MAP2K7	ortholog_one2one
ENSG00000159899	NPR2	ENSMUSG00000028469	NPR2	ortholog_one2one
ENSG00000178999	AURKB	ENSMUSG00000020897	AURKB	ortholog_one2one
ENSG00000107643	MAPK8	ENSMUSG00000021936	MAPK8	ortholog_one2one
ENSG00000105146	AURKC	ENSMUSG00000070837	AURKC	ortholog_one2one
ENSG00000069020	MAST4	ENSMUSG00000034751	MAST4	ortholog_one2one
ENSG00000167657	DAPK3	ENSMUSG00000034974	DAPK3	ortholog_one2one
ENSG00000115687	PASK	ENSMUSG00000026274	PASK	ortholog_one2one
ENSG00000115977	AAK1	ENSMUSG00000057230	AAK1	ortholog_one2one
ENSG00000172939	OXSR1	ENSMUSG00000036737	OXSR1	ortholog_one2one
ENSG00000160447	PKN3	ENSMUSG00000026785	PKN3	ortholog_one2one
ENSG00000198873	GRK5	ENSMUSG00000003228	GRK5	ortholog_one2one
ENSG00000133059	DSTYK	ENSMUSG00000042046	DSTYK	ortholog_one2one
ENSG00000145632	PLK2	ENSMUSG00000021701	PLK2	ortholog_one2one
ENSG00000152495	CAMK4	ENSMUSG00000038128	CAMK4	ortholog_one2one
ENSG00000004660	CAMKK1	ENSMUSG00000020785	CAMKK1	ortholog_one2one
ENSG00000145348	TBCK	ENSMUSG00000028030	TBCK	ortholog_one2one
ENSG00000198909	MAP3K3	ENSMUSG00000020700	MAP3K3	ortholog_one2one
ENSG00000112742	TTK	ENSMUSG00000038379	TTK	ortholog_one2one
ENSG00000050748	MAPK9	ENSMUSG00000020366	MAPK9	ortholog_one2one
ENSG00000156711	MAPK13	ENSMUSG00000004864	MAPK13	ortholog_one2one
ENSG00000136021	SCYL2	ENSMUSG00000069539	SCYL2	ortholog_one2one
ENSG00000112739	PRP4K	ENSMUSG00000021413	PRPF4B	ortholog_one2one
ENSG00000114670	NEK11	ENSMUSG00000035032	NEK11	ortholog_one2one
ENSG00000071242	RPS6KA2	ENSMUSG00000023809	RPS6KA2	ortholog_one2one
ENSG00000095777	MYO3A	ENSMUSG00000025716	MYO3A	ortholog_one2one
ENSG00000138669	PRKG2	ENSMUSG00000029334	PRKG2	ortholog_one2one
ENSG00000165752	STK32C	ENSMUSG00000015981	STK32C	ortholog_one2one
ENSG00000182580	EPHB3	ENSMUSG00000005958	EPHB3	ortholog_one2one
ENSG00000250506	CDK3	ENSMUSG00000092300	CDK3	ortholog_one2one
ENSG00000074590	NUAK1	ENSMUSG00000020032	NUAK1	ortholog_one2one
ENSG00000126583	PRKCG	ENSMUSG00000078816	PRKCG	ortholog_one2one
ENSG00000134058	CDK7	ENSMUSG00000069089	CDK7	ortholog_one2one
ENSG00000138756	BMP2K	ENSMUSG00000034663	BMP2K	ortholog_one2one
ENSG00000131023	LATS1	ENSMUSG00000040021	LATS1	ortholog_one2one
ENSG00000170312	CDK1	ENSMUSG00000019942	CDK1	ortholog_one2one
ENSG00000156873	PHKG2	ENSMUSG00000030815	PHKG2	ortholog_one2one
ENSG00000107968	MAP3K8	ENSMUSG00000024235	MAP3K8	ortholog_one2one
ENSG00000142208	AKT1	ENSMUSG00000001729	AKT1	ortholog_one2one
ENSG00000085511	MAP3K4	ENSMUSG00000014426	MAP3K4	ortholog_one2one
ENSG00000115694	STK25	ENSMUSG00000026277	STK25	ortholog_one2one
ENSG00000166851	PLK1	ENSMUSG00000030867	PLK1	ortholog_one2one
ENSG00000011566	MAP4K3	ENSMUSG00000024242	MAP4K3	ortholog_one2one
ENSG00000214102	WEE2	ENSMUSG00000037159	WEE2	ortholog_one2one
ENSG00000132155	RAF1	ENSMUSG00000000441	RAF1	ortholog_one2one
ENSG00000198586	TLK1	ENSMUSG00000041997	TLK1	ortholog_one2one
ENSG00000160469	BRSK1	ENSMUSG00000035390	BRSK1	ortholog_one2one
ENSG00000160551	TAOK1	ENSMUSG00000017291	TAOK1	ortholog_one2one
ENSG00000134070	IRAK2	ENSMUSG00000060477	IRAK2	ortholog_one2one
ENSG00000105204	DYRK1B	ENSMUSG00000002409	DYRK1B	ortholog_one2one
ENSG00000169302	STK32A	ENSMUSG00000039954	STK32A	ortholog_one2one
ENSG00000170145	SIK2	ENSMUSG00000037112	SIK2	ortholog_one2one
ENSG00000006837	CDKL3	ENSMUSG00000020389	CDKL3	ortholog_one2one
ENSG00000109339	MAPK10	ENSMUSG00000046709	MAPK10	ortholog_one2one
ENSG00000135090	TAOK3	ENSMUSG00000061288	TAOK3	ortholog_one2one
ENSG00000170390	DCLK2	ENSMUSG00000028078	DCLK2	ortholog_one2one
ENSG00000108984	MAP2K6	ENSMUSG00000020623	MAP2K6	ortholog_one2one
ENSG00000007047	MARK4	ENSMUSG00000030397	MARK4	ortholog_one2one
ENSG00000141503	MINK1	ENSMUSG00000020827	MINK1	ortholog_one2one
ENSG00000173846	PLK3	ENSMUSG00000028680	PLK3	ortholog_one2one
ENSG00000151292	CSNK1G3	ENSMUSG00000073563	CSNK1G3	ortholog_one2one
ENSG00000173020	GRK2	ENSMUSG00000024858	GRK2	ortholog_one2one
ENSG00000164776	PHKG1	ENSMUSG00000025537	PHKG1	ortholog_one2one
ENSG00000060237	WNK1	ENSMUSG00000045962	WNK1	ortholog_one2one
ENSG00000138696	BMPR1B	ENSMUSG00000052430	BMPR1B	ortholog_one2one
ENSG00000065559	MAP2K4	ENSMUSG00000033352	MAP2K4	ortholog_one2one
ENSG00000172071	EIF2AK3	ENSMUSG00000031668	EIF2AK3	ortholog_one2one
ENSG00000263528	IKBKE	ENSMUSG00000042349	IKBKE	ortholog_one2one
ENSG00000071054	MAP4K4	ENSMUSG00000026074	MAP4K4	ortholog_one2one
ENSG00000104936	DMPK	ENSMUSG00000030409	DMPK	ortholog_one2one
ENSG00000196335	STK31	ENSMUSG00000023403	STK31	ortholog_one2one
ENSG00000064393	HIPK2	ENSMUSG00000061436	HIPK2	ortholog_one2one
ENSG00000183735	TBK1	ENSMUSG00000020115	TBK1	ortholog_one2one
ENSG00000198648	STK39	ENSMUSG00000027030	STK39	ortholog_one2one
ENSG00000070808	CAMK2A	ENSMUSG00000024617	CAMK2A	ortholog_one2one
ENSG00000086232	EIF2AK1	ENSMUSG00000029613	EIF2AK1	ortholog_one2one
ENSG00000154229	PRKCA	ENSMUSG00000050965	PRKCA	ortholog_one2one
ENSG00000034152	MAP2K3	ENSMUSG00000018932	MAP2K3	ortholog_one2one
ENSG00000095015	MAP3K1	ENSMUSG00000021754	MAP3K1	ortholog_one2one
ENSG00000164885	CDK5	ENSMUSG00000028969	CDK5	ortholog_one2one
ENSG00000087095	NLK	ENSMUSG00000017376	NLK	ortholog_one2one
ENSG00000151414	NEK7	ENSMUSG00000026393	NEK7	ortholog_one2one
ENSG00000162409	PRKAA2	ENSMUSG00000028518	PRKAA2	ortholog_one2one
ENSG00000110931	CAMKK2	ENSMUSG00000029471	CAMKK2	ortholog_one2one
ENSG00000176601	MAP3K19	ENSMUSG00000051590	MAP3K19	ortholog_one2one
ENSG00000167524	RSKR	ENSMUSG00000037593	RSKR	ortholog_one2one
ENSG00000175634	RPS6KB2	ENSMUSG00000024830	RPS6KB2	ortholog_one2one
ENSG00000115825	PRKD3	ENSMUSG00000024070	PRKD3	ortholog_one2one
ENSG00000166484	MAPK7	ENSMUSG00000001034	MAPK7	ortholog_one2one
ENSG00000174672	BRSK2	ENSMUSG00000053046	BRSK2	ortholog_one2one
ENSG00000130413	STK33	ENSMUSG00000031027	STK33	ortholog_one2one
ENSG00000166483	WEE1	ENSMUSG00000031016	WEE1	ortholog_one2one
ENSG00000178607	ERN1	ENSMUSG00000020715	ERN1	ortholog_one2one
ENSG00000083290	ULK2	ENSMUSG00000004798	ULK2	ortholog_one2one
ENSG00000149269	PAK1	ENSMUSG00000030774	PAK1	ortholog_one2one
ENSG00000162302	RPS6KA4	ENSMUSG00000118668	RPS6KA4	ortholog_one2one
ENSG00000114739	ACVR2B	ENSMUSG00000061393	ACVR2B	ortholog_one2one
ENSG00000168038	ULK4	ENSMUSG00000040936	ULK4	ortholog_one2one
ENSG00000146872	TLK2	ENSMUSG00000020694	TLK2	ortholog_one2one
ENSG00000168067	MAP4K2	ENSMUSG00000024948	MAP4K2	ortholog_one2one
ENSG00000171219	CDC42BPG	ENSMUSG00000024769	CDC42BPG	ortholog_one2one
ENSG00000117020	AKT3	ENSMUSG00000019699	AKT3	ortholog_one2one
ENSG00000089022	MAPKAPK5	ENSMUSG00000029454	MAPKAPK5	ortholog_one2one
ENSG00000177169	ULK1	ENSMUSG00000029512	ULK1	ortholog_one2one
ENSG00000110422	HIPK3	ENSMUSG00000027177	HIPK3	ortholog_one2one
ENSG00000143776	CDC42BPA	ENSMUSG00000026490	CDC42BPA	ortholog_one2one
ENSG00000136643	RPS6KC1	ENSMUSG00000089872	RPS6KC1	ortholog_one2one
ENSG00000082146	STRADB	ENSMUSG00000026027	STRADB	ortholog_one2one
ENSG00000155657	TTN	ENSMUSG00000051747	TTN	ortholog_one2one
ENSG00000180370	PAK2	ENSMUSG00000022781	PAK2	ortholog_one2one
ENSG00000142733	MAP3K6	ENSMUSG00000028862	MAP3K6	ortholog_one2one
ENSG00000121989	ACVR2A	ENSMUSG00000052155	ACVR2A	ortholog_one2one
ENSG00000163932	PRKCD	ENSMUSG00000021948	PRKCD	ortholog_one2one
ENSG00000196455	PIK3R4	ENSMUSG00000032571	PIK3R4	ortholog_one2one
ENSG00000072195	SPEG	ENSMUSG00000026207	SPEG	ortholog_one2one
ENSG00000171132	PRKCE	ENSMUSG00000045038	PRKCE	ortholog_one2one
ENSG00000163545	NUAK2	ENSMUSG00000009772	NUAK2	ortholog_one2one
ENSG00000114738	MAPKAPK3	ENSMUSG00000032577	MAPKAPK3	ortholog_one2one
ENSG00000114904	NEK4	ENSMUSG00000021918	NEK4	ortholog_one2one
ENSG00000163788	SNRK	ENSMUSG00000038145	SNRK	ortholog_one2one
ENSG00000117676	RPS6KA1	ENSMUSG00000003644	RPS6KA1	ortholog_one2one
ENSG00000065243	PKN2	ENSMUSG00000004591	PKN2	ortholog_one2one
ENSG00000163482	STK36	ENSMUSG00000033276	STK36	ortholog_one2one
ENSG00000071909	MYO3B	ENSMUSG00000042064	MYO3B	ortholog_one2one
ENSG00000143674	MAP3K21	ENSMUSG00000031853	MAP3K21	ortholog_one2one
ENSG00000079277	MKNK1	ENSMUSG00000028708	MKNK1	ortholog_one2one
ENSG00000117266	CDK18	ENSMUSG00000026437	CDK18	ortholog_one2one
ENSG00000115661	STK16	ENSMUSG00000026201	STK16	ortholog_one2one
ENSG00000138395	CDK15	ENSMUSG00000026023	CDK15	ortholog_one2one
ENSG00000176444	CLK2	ENSMUSG00000068917	CLK2	ortholog_one2one
ENSG00000008118	CAMK1G	ENSMUSG00000016179	CAMK1G	ortholog_one2one
ENSG00000158828	PINK1	ENSMUSG00000028756	PINK1	ortholog_one2one
ENSG00000116141	MARK1	ENSMUSG00000026620	MARK1	ortholog_one2one
ENSG00000134318	ROCK2	ENSMUSG00000020580	ROCK2	ortholog_one2one
ENSG00000169679	BUB1	ENSMUSG00000027379	BUB1	ortholog_one2one
ENSG00000013441	CLK1	ENSMUSG00000026034	CLK1	ortholog_one2one
ENSG00000028116	VRK2	ENSMUSG00000064090	VRK2	ortholog_one2one
