gene_id_human	gene_id_mouse	gene_name	adrenal_gland_tpm_human	brain_tpm_human	muscle_tpm_human	heart_tpm_human	liver_tpm_human	adrenal_gland_tpm_mouse	brain_tpm_mouse	muscle_tpm_mouse	heart_tpm_mouse	liver_tpm_mouse
ENSG00000050748	ENSMUSG00000020366	MAPK9	7.96	37.4	5.96	21.0	7.54	19.27	107.18	26.98	17.09	2.81
ENSG00000055332	ENSMUSG00000024079	EIF2AK2	5.33	15.53	4.27	9.9	2.23	5.88	2.65	1.59	3.76	1.66
ENSG00000058091	ENSMUSG00000028926	CDK14	0.95	57.96	8.59	12.62	3.57	4.96	93.31	1.14	2.21	0.29
ENSG00000058404	ENSMUSG00000057897	CAMK2B	0.58	88.86	1.98	71.64	14.6	5.27	326.35	68.57	3.26	0.92
ENSG00000059758	ENSMUSG00000020015	CDK17	4.64	27.06	3.25	8.39	4.48	9.18	121.23	2.54	5.43	1.85
ENSG00000060237	ENSMUSG00000045962	WNK1	27.93	91.64	31.76	136.21	79.77	53.31	112.84	214.49	167.49	6.72
ENSG00000064393	ENSMUSG00000061436	HIPK2	10.89	64.11	25.3	67.59	18.58	31.74	34.6	59.63	33.7	0.92
ENSG00000065243	ENSMUSG00000004591	PKN2	6.5	9.16	4.82	20.17	6.18	18.77	16.14	24.12	15.91	3.41
ENSG00000065534	ENSMUSG00000022836	MYLK	21.13	18.59	57.13	2.75	8.11	18.41	7.97	6.84	13.71	3.58
ENSG00000065559	ENSMUSG00000033352	MAP2K4	6.24	41.37	5.06	15.45	12.43	12.51	87.55	31.61	16.98	2.94
ENSG00000065613	ENSMUSG00000025060	SLK	7.88	11.18	3.44	29.97	22.2	9.45	24.44	12.79	29.32	2.96
ENSG00000065675	ENSMUSG00000026778	PRKCQ	0.12	1.83	0.08	0.11	12.81	0.57	4.44	35.97	1.48	0.19
ENSG00000065883	ENSMUSG00000041297	CDK13	7.27	22.72	9.58	11.1	9.24	16.89	27.53	7.71	9.96	2.27
ENSG00000067606	ENSMUSG00000029053	PRKCZ	5.53	53.14	8.78	8.4	0.24	2.38	105.47	1.2	1.46	1.98
ENSG00000067900	ENSMUSG00000024290	ROCK1	5.18	9.38	7.14	17.11	4.91	13.28	13.55	4.2	18.35	2.8
ENSG00000069020	ENSMUSG00000034751	MAST4	12.22	17.37	8.53	27.67	17.35	22.5	27.58	28.88	8.62	0.58
ENSG00000069956	ENSMUSG00000042688	MAPK6	4.34	15.89	7.93	10.29	22.27	12.93	31.0	14.91	10.54	2.29
ENSG00000070759	ENSMUSG00000033985	TESK2	1.51	3.44	2.78	0.41	2.38	0.8	2.42	0.72	0.79	1.25
ENSG00000070770	ENSMUSG00000046707	CSNK2A2	7.08	12.44	10.16	20.9	7.61	21.98	39.14	10.29	12.15	1.43
ENSG00000070808	ENSMUSG00000024617	CAMK2A	0.43	308.22	0.03	8.26	25.28	0.34	1076.98	193.75	20.68	0.0
ENSG00000071054	ENSMUSG00000026074	MAP4K4	5.64	63.32	12.0	54.6	16.53	28.21	49.08	7.41	43.73	1.16
ENSG00000071242	ENSMUSG00000023809	RPS6KA2	8.78	24.56	4.94	32.49	9.02	3.53	26.28	48.02	19.82	0.08
ENSG00000071575	ENSMUSG00000020601	TRIB2	19.39	14.03	5.5	17.05	7.65	3.56	14.96	7.27	8.45	0.24
ENSG00000071909	ENSMUSG00000042064	MYO3B	0.0	0.05	0.0	0.01	0.0	0.0	0.84	0.01	0.03	0.0
ENSG00000072062	ENSMUSG00000005469	PRKACA	32.59	46.91	31.17	248.55	74.38	87.19	121.14	66.78	139.86	2.49
ENSG00000072133	ENSMUSG00000025665	RPS6KA6	1.15	2.62	0.23	0.31	0.04	0.49	2.49	0.03	0.11	0.01
ENSG00000072195	ENSMUSG00000026207	SPEG	1.35	18.48	0.58	65.12	159.96	3.39	87.38	131.7	46.45	0.06
ENSG00000072518	ENSMUSG00000024969	MARK2	8.74	15.62	5.15	17.77	15.36	19.85	65.78	16.6	20.12	0.5
ENSG00000072786	ENSMUSG00000020272	STK10	4.52	2.19	3.61	2.66	7.51	4.17	4.15	0.76	3.31	0.22
ENSG00000074590	ENSMUSG00000020032	NUAK1	2.29	39.94	1.37	27.77	10.04	2.12	29.86	9.76	12.97	0.07
ENSG00000075413	ENSMUSG00000007411	MARK3	20.24	32.36	10.55	30.77	24.86	23.44	44.73	23.73	18.33	3.35
ENSG00000076984	ENSMUSG00000002948	MAP2K7	2.54	8.99	8.25	12.22	12.49	24.69	46.52	30.4	26.81	1.03
ENSG00000077264	ENSMUSG00000031284	PAK3	1.1	29.25	0.33	0.68	0.0	9.45	59.38	0.03	0.14	0.0
ENSG00000079277	ENSMUSG00000028708	MKNK1	7.07	13.24	7.53	15.19	22.76	9.44	16.39	10.57	8.31	1.52
ENSG00000080823	ENSMUSG00000056458	MOK	2.81	12.27	1.28	4.37	1.02	0.37	5.34	0.04	0.55	0.02
ENSG00000081320	ENSMUSG00000026094	STK17B	3.75	2.48	0.59	1.67	1.83	5.51	2.93	2.81	5.02	0.78
ENSG00000082146	ENSMUSG00000026027	STRADB	27.28	9.55	28.58	20.81	59.56	14.82	21.72	76.54	34.32	1.77
ENSG00000082701	ENSMUSG00000022812	GSK3B	13.73	26.48	5.04	26.89	12.16	17.86	85.01	31.91	20.1	1.28
ENSG00000083290	ENSMUSG00000004798	ULK2	4.07	14.14	2.29	11.16	5.49	8.86	35.17	38.31	18.49	4.21
ENSG00000085511	ENSMUSG00000014426	MAP3K4	2.67	20.22	4.46	23.67	11.59	7.18	26.28	17.33	20.07	2.08
ENSG00000086015	ENSMUSG00000003810	MAST2	5.96	12.12	4.5	45.2	64.97	13.97	50.81	40.87	42.37	0.42
ENSG00000086232	ENSMUSG00000029613	EIF2AK1	38.16	23.91	27.8	28.78	117.49	10.49	19.73	11.41	6.91	1.2
ENSG00000087095	ENSMUSG00000017376	NLK	12.48	38.19	2.97	10.19	4.14	12.18	42.5	4.47	5.31	0.81
ENSG00000087586	ENSMUSG00000027496	AURKA	0.45	0.45	0.62	3.63	4.66	0.35	0.83	6.7	0.22	0.03
ENSG00000089022	ENSMUSG00000029454	MAPKAPK5	14.46	14.46	7.68	11.17	23.88	22.84	34.4	62.71	32.87	4.23
ENSG00000090376	ENSMUSG00000020227	IRAK3	3.23	0.92	0.67	1.36	1.8	1.46	0.78	0.58	1.31	0.12
ENSG00000091436	ENSMUSG00000004085	MAP3K20	7.51	3.49	5.43	209.91	99.83	12.54	4.54	174.53	108.88	1.28
ENSG00000095015	ENSMUSG00000021754	MAP3K1	3.06	1.29	2.31	2.89	1.72	13.35	5.21	3.35	6.85	0.86
ENSG00000095777	ENSMUSG00000025716	MYO3A	0.01	0.02	0.04	0.01	0.03	0.01	1.45	0.04	0.0	0.0
ENSG00000096063	ENSMUSG00000004865	SRPK1	2.33	12.79	9.11	7.26	15.83	19.02	44.25	11.28	13.59	1.49
ENSG00000097046	ENSMUSG00000029283	CDC7	0.42	3.23	0.18	0.35	0.02	0.84	4.26	0.03	0.26	0.03
ENSG00000099308	ENSMUSG00000031833	MAST3	2.36	62.81	7.31	1.96	1.16	4.89	145.04	0.69	2.76	1.81
ENSG00000099875	ENSMUSG00000020190	MKNK2	36.01	22.23	59.18	67.04	886.04	103.41	17.84	101.77	74.63	9.61
ENSG00000100030	ENSMUSG00000063358	MAPK1	16.25	94.16	21.57	58.39	32.77	49.1	216.79	41.39	38.19	8.83
ENSG00000100077	ENSMUSG00000042249	GRK3	2.54	16.15	0.53	2.61	0.24	9.12	40.12	2.27	2.05	0.44
ENSG00000100490	ENSMUSG00000020990	CDKL1	2.99	9.4	0.32	0.84	0.41	0.7	19.09	0.47	4.5	0.03
ENSG00000100749	ENSMUSG00000021115	VRK1	2.24	5.06	0.72	4.51	2.87	4.1	8.93	1.39	3.77	0.68
ENSG00000100784	ENSMUSG00000021180	RPS6KA5	0.77	6.98	0.54	4.3	3.62	2.04	17.74	4.08	4.13	0.22
ENSG00000101049	ENSMUSG00000017868	SGK2	0.19	3.89	32.25	0.06	0.15	0.0	0.59	0.0	0.0	4.27
ENSG00000101109	ENSMUSG00000018209	STK4	4.94	8.83	3.97	3.86	1.87	7.62	17.23	3.52	5.18	1.51
ENSG00000101255	ENSMUSG00000032715	TRIB3	3.02	0.65	7.26	0.64	0.25	1.52	0.96	0.33	1.54	1.76
ENSG00000101306	ENSMUSG00000027470	MYLK2	0.0	0.25	0.01	0.02	105.09	0.01	0.18	310.62	0.02	0.01
ENSG00000101349	ENSMUSG00000039913	PAK5	0.71	6.54	0.03	0.0	0.0	0.01	23.26	0.03	0.18	0.0
ENSG00000102096	ENSMUSG00000031155	PIM2	1.92	4.17	1.52	1.72	0.94	2.54	20.89	0.47	0.89	0.08
ENSG00000102225	ENSMUSG00000031065	CDK16	20.08	34.05	8.62	69.29	71.14	48.21	108.81	47.71	43.04	1.36
ENSG00000102572	ENSMUSG00000063410	STK24	17.08	15.63	6.76	32.3	28.19	25.71	32.88	13.85	28.72	1.1
ENSG00000102882	ENSMUSG00000063065	MAPK3	12.33	53.09	4.9	24.56	20.09	38.56	95.15	7.26	14.98	1.13
ENSG00000104205	ENSMUSG00000025915	SGK3	2.16	9.56	4.83	3.85	1.78	3.01	7.25	2.07	4.35	1.61
ENSG00000104365	ENSMUSG00000031537	IKBKB	31.18	8.89	9.51	7.39	9.75	13.5	18.21	5.0	6.09	4.53
ENSG00000104375	ENSMUSG00000022329	STK3	6.0	2.57	5.16	6.46	3.33	7.31	16.72	1.59	3.9	0.99
ENSG00000104814	ENSMUSG00000037337	MAP4K1	3.11	1.97	1.39	0.54	0.0	0.74	0.58	0.15	0.18	0.02
ENSG00000104936	ENSMUSG00000030409	DMPK	23.5	14.75	3.12	133.06	54.89	42.99	13.21	97.47	207.93	1.47
ENSG00000105053	ENSMUSG00000002205	VRK3	8.04	13.73	15.1	11.37	16.64	12.62	15.4	9.74	9.64	0.93
ENSG00000105146	ENSMUSG00000070837	AURKC	0.28	0.86	0.07	1.38	0.11	0.06	0.0	0.0	0.0	0.0
ENSG00000105204	ENSMUSG00000002409	DYRK1B	6.57	9.09	2.2	18.52	28.36	6.67	20.16	24.07	10.48	0.76
ENSG00000105221	ENSMUSG00000004056	AKT2	18.08	33.24	55.78	56.52	159.93	78.03	52.09	94.39	67.87	6.19
ENSG00000105287	ENSMUSG00000041187	PRKD2	4.07	4.43	5.43	5.58	2.52	7.29	1.92	1.43	8.96	0.27
ENSG00000105613	ENSMUSG00000053693	MAST1	0.3	28.83	0.34	0.14	0.0	0.97	33.61	0.0	0.04	0.01
ENSG00000105723	ENSMUSG00000057177	GSK3A	6.17	29.92	5.99	17.0	15.03	30.23	103.23	36.22	24.72	0.99
ENSG00000105810	ENSMUSG00000040274	CDK6	7.36	5.19	6.07	7.54	2.85	2.97	1.52	0.23	3.44	1.07
ENSG00000106799	ENSMUSG00000007613	TGFBR1	5.57	3.68	5.38	5.65	5.59	10.45	9.83	11.11	5.46	1.67
ENSG00000107140	ENSMUSG00000028458	TESK1	6.61	13.29	6.22	11.54	26.31	21.13	45.04	28.66	13.19	0.33
ENSG00000107643	ENSMUSG00000021936	MAPK8	12.65	28.08	8.92	15.98	10.57	5.4	46.18	12.66	12.4	2.92
ENSG00000107779	ENSMUSG00000021796	BMPR1A	3.48	5.97	5.02	31.76	3.88	15.36	19.17	21.1	21.32	2.21
ENSG00000107968	ENSMUSG00000024235	MAP3K8	3.07	1.63	1.14	1.77	2.2	2.09	1.29	0.43	1.81	0.51
ENSG00000108443	ENSMUSG00000020516	RPS6KB1	5.65	13.63	6.5	12.26	15.87	9.96	17.92	8.49	8.07	1.56
ENSG00000108984	ENSMUSG00000020623	MAP2K6	0.58	4.83	1.04	0.42	155.82	1.08	10.19	19.56	1.7	2.44
ENSG00000109339	ENSMUSG00000046709	MAPK10	2.96	130.15	0.94	0.98	0.0	3.06	248.81	0.55	10.8	0.0
ENSG00000110422	ENSMUSG00000027177	HIPK3	18.29	26.9	13.86	129.37	35.16	36.2	46.98	127.99	84.19	4.45
ENSG00000110931	ENSMUSG00000029471	CAMKK2	7.03	57.13	11.45	7.4	2.47	8.34	90.2	0.84	3.48	0.68
ENSG00000111837	ENSMUSG00000021363	MAK	0.02	0.0	0.02	0.02	0.0	0.13	1.44	0.0	0.0	0.0
ENSG00000112062	ENSMUSG00000053436	MAPK14	10.44	10.45	16.2	13.96	15.51	19.52	35.14	47.54	23.93	4.09
ENSG00000112079	ENSMUSG00000024006	STK38	2.97	2.05	5.38	10.71	5.99	15.6	25.13	8.07	8.85	4.97
ENSG00000112144	ENSMUSG00000009828	CILK1	7.9	3.09	2.19	4.32	3.24	5.22	7.55	2.3	4.33	1.11
ENSG00000112742	ENSMUSG00000038379	TTK	0.34	0.02	0.11	0.19	0.0	0.08	0.19	0.05	0.13	0.02
ENSG00000113240	ENSMUSG00000020385	CLK4	2.48	14.03	7.0	6.07	6.19	27.19	42.34	16.76	10.82	12.61
ENSG00000113712	ENSMUSG00000024576	CSNK1A1	50.43	49.62	32.83	114.75	104.28	67.99	122.17	98.16	81.78	10.28
ENSG00000114670	ENSMUSG00000035032	NEK11	1.87	6.48	0.19	0.78	2.14	0.1	0.37	0.0	0.0	0.01
ENSG00000114738	ENSMUSG00000032577	MAPKAPK3	18.06	2.54	6.38	136.42	183.94	13.38	1.1	13.89	11.85	0.2
ENSG00000114739	ENSMUSG00000061393	ACVR2B	2.32	4.02	2.65	2.91	0.99	1.51	8.46	7.06	1.9	0.46
ENSG00000114904	ENSMUSG00000021918	NEK4	6.16	11.78	6.59	8.64	10.57	3.22	8.6	1.85	1.94	0.73
ENSG00000115170	ENSMUSG00000026836	ACVR1	3.86	4.91	5.93	9.12	4.44	30.41	14.42	12.35	5.65	0.91
ENSG00000115216	ENSMUSG00000029148	NRBP1	11.66	20.33	14.77	30.23	49.05	20.85	39.17	21.38	30.02	5.59
ENSG00000115661	ENSMUSG00000026201	STK16	3.56	5.32	9.68	8.96	7.96	37.14	38.05	8.32	14.41	6.22
ENSG00000115687	ENSMUSG00000026274	PASK	0.8	5.13	1.97	1.48	0.12	0.84	6.25	0.19	0.12	0.02
ENSG00000115694	ENSMUSG00000026277	STK25	41.95	53.61	26.05	33.88	204.76	36.37	161.01	38.4	33.78	2.39
ENSG00000115825	ENSMUSG00000024070	PRKD3	12.94	3.33	5.22	4.37	7.1	5.79	6.08	3.69	6.46	20.76
ENSG00000115977	ENSMUSG00000057230	AAK1	13.78	52.45	6.45	64.2	14.68	32.63	191.39	22.24	33.6	0.28
ENSG00000116141	ENSMUSG00000026620	MARK1	0.96	10.67	0.15	8.85	1.1	1.79	37.23	1.04	3.52	0.05
ENSG00000117020	ENSMUSG00000019699	AKT3	8.01	111.94	2.97	5.55	6.25	8.24	123.44	4.7	6.81	0.31
ENSG00000117266	ENSMUSG00000026437	CDK18	3.08	45.26	3.5	83.45	1.88	5.09	13.44	1.74	5.91	0.51
ENSG00000117650	ENSMUSG00000026622	NEK2	0.06	0.24	0.05	0.07	0.0	0.14	0.61	0.41	0.07	0.05
ENSG00000117676	ENSMUSG00000003644	RPS6KA1	7.74	5.07	5.11	1.1	0.63	3.46	7.55	1.69	1.78	0.44
ENSG00000118046	ENSMUSG00000003068	STK11	23.04	14.08	13.15	22.27	80.18	48.02	50.81	71.5	51.12	7.76
ENSG00000118515	ENSMUSG00000019970	SGK1	28.7	24.18	9.2	12.42	18.04	47.2	49.24	79.27	32.15	2.27
ENSG00000119408	ENSMUSG00000026749	NEK6	2.99	14.79	33.6	2.19	4.16	5.81	11.07	6.44	1.05	1.48
ENSG00000119638	ENSMUSG00000034290	NEK9	11.68	14.37	19.92	55.53	38.45	28.35	17.09	68.0	50.34	1.84
ENSG00000120539	ENSMUSG00000026779	MASTL	1.25	1.38	1.02	0.79	0.98	0.07	0.29	0.15	0.09	0.03
ENSG00000121989	ENSMUSG00000052155	ACVR2A	1.76	5.58	2.88	5.43	3.34	4.22	17.36	13.75	6.46	1.24
ENSG00000122966	ENSMUSG00000029516	CIT	1.59	59.07	0.7	0.23	0.92	0.84	87.9	0.14	0.41	0.08
ENSG00000123143	ENSMUSG00000057672	PKN1	29.01	14.97	12.89	61.61	53.76	39.41	24.01	9.76	20.61	1.88
ENSG00000123374	ENSMUSG00000025358	CDK2	3.79	1.54	4.36	5.71	4.82	4.09	1.72	1.04	3.29	0.51
ENSG00000123572	ENSMUSG00000052854	NRK	7.62	0.0	0.04	1.16	0.0	0.05	0.03	0.02	0.13	0.0
ENSG00000125388	ENSMUSG00000052783	GRK4	1.2	7.84	1.26	2.93	2.38	1.1	2.55	0.62	0.42	0.07
ENSG00000125834	ENSMUSG00000037885	STK35	5.7	6.15	4.02	7.61	1.2	8.19	17.83	3.25	4.7	0.92
ENSG00000126562	ENSMUSG00000035112	WNK4	0.0	0.0	0.21	0.0	0.02	1.27	5.08	0.02	3.8	0.04
ENSG00000126583	ENSMUSG00000078816	PRKCG	0.0	29.02	0.03	0.0	0.0	0.33	116.17	0.12	0.47	0.0
ENSG00000126934	ENSMUSG00000035027	MAP2K2	26.87	35.32	25.08	45.03	85.54	51.59	56.15	96.27	53.29	5.05
ENSG00000127334	ENSMUSG00000028630	DYRK2	3.41	4.11	4.25	19.35	6.79	6.24	14.94	36.52	10.7	2.09
ENSG00000127564	ENSMUSG00000023908	PKMYT1	1.07	2.13	0.39	0.31	0.0	0.76	2.29	0.27	0.44	0.02
ENSG00000128829	ENSMUSG00000005102	EIF2AK4	7.74	9.85	4.92	9.21	11.55	5.09	10.2	1.55	2.06	0.59
ENSG00000128881	ENSMUSG00000090100	TTBK2	4.2	29.66	2.64	11.31	3.65	3.86	46.17	4.67	5.32	0.33
ENSG00000129465	ENSMUSG00000022221	RIPK3	1.06	0.2	0.27	0.81	0.27	1.4	0.27	0.53	1.15	0.19
ENSG00000130413	ENSMUSG00000031027	STK33	2.63	2.98	0.16	17.29	5.55	0.17	0.49	4.79	0.0	0.0
ENSG00000130669	ENSMUSG00000030602	PAK4	3.8	6.24	7.72	7.98	3.97	6.7	3.94	1.53	3.99	0.43
ENSG00000130758	ENSMUSG00000040390	MAP3K10	2.38	34.64	3.08	7.21	10.64	9.47	79.75	19.75	7.69	1.08
ENSG00000130822	ENSMUSG00000002012	PNCK	0.07	37.61	0.13	3.59	0.0	3.32	46.08	4.46	4.29	0.0
ENSG00000131023	ENSMUSG00000040021	LATS1	5.11	8.86	4.04	7.95	2.6	12.71	15.18	4.72	3.56	1.07
ENSG00000132155	ENSMUSG00000000441	RAF1	16.54	16.47	21.69	55.88	142.97	28.1	33.94	54.81	44.92	7.7
ENSG00000132356	ENSMUSG00000050697	PRKAA1	14.03	11.17	15.48	24.9	11.09	9.93	11.03	4.93	5.04	0.85
ENSG00000132964	ENSMUSG00000029635	CDK8	1.86	4.9	2.93	4.53	4.18	13.59	18.16	7.66	7.01	3.01
ENSG00000133059	ENSMUSG00000042046	DSTYK	3.94	10.14	0.99	3.87	5.84	6.99	23.75	3.72	6.18	0.97
ENSG00000133083	ENSMUSG00000027797	DCLK1	1.08	71.19	0.01	3.34	1.55	1.64	385.9	0.82	1.73	0.05
ENSG00000133275	ENSMUSG00000003345	CSNK1G2	17.2	12.56	8.66	11.11	15.7	43.8	114.82	60.53	53.04	5.9
ENSG00000134058	ENSMUSG00000069089	CDK7	6.98	10.1	3.01	7.18	11.4	10.54	19.47	4.75	8.58	1.64
ENSG00000134070	ENSMUSG00000060477	IRAK2	1.89	1.49	1.77	0.76	9.55	16.1	11.46	3.05	7.17	1.97
ENSG00000134072	ENSMUSG00000030272	CAMK1	46.27	19.5	9.76	3.89	4.77	17.33	48.88	16.26	27.52	1.75
ENSG00000134318	ENSMUSG00000020580	ROCK2	8.28	21.92	4.76	24.41	17.35	22.45	60.34	43.72	32.19	1.57
ENSG00000134398	ENSMUSG00000030866	ERN2	0.19	0.01	0.02	0.0	0.44	0.07	0.15	0.0	0.0	0.0
ENSG00000134602	ENSMUSG00000031112	STK26	0.5	0.31	1.29	0.44	1.27	1.28	3.17	1.29	0.64	0.03
ENSG00000135090	ENSMUSG00000061288	TAOK3	7.99	17.85	6.17	10.17	5.59	10.32	22.75	1.86	2.32	2.5
ENSG00000135250	ENSMUSG00000062604	SRPK2	7.64	67.42	6.15	18.09	7.48	12.91	92.8	11.29	17.8	1.57
ENSG00000135341	ENSMUSG00000028284	MAP3K7	4.69	9.87	2.77	13.81	8.12	12.81	19.35	27.77	23.72	2.24
ENSG00000135409	ENSMUSG00000023047	AMHR2	15.91	0.0	0.31	0.11	0.03	0.63	0.4	5.88	0.39	0.01
ENSG00000135446	ENSMUSG00000006728	CDK4	33.87	5.62	12.26	34.84	22.19	43.1	38.46	19.18	32.85	4.11
ENSG00000135503	ENSMUSG00000000532	ACVR1B	2.7	16.34	11.11	5.43	4.15	1.83	51.01	13.67	4.14	0.54
ENSG00000135828	ENSMUSG00000066800	RNASEL	2.88	1.95	0.86	0.73	1.81	2.21	5.93	0.49	1.12	0.55
ENSG00000136021	ENSMUSG00000069539	SCYL2	9.64	12.52	9.62	15.19	13.0	13.41	14.85	5.54	6.88	2.0
ENSG00000136098	ENSMUSG00000031478	NEK3	1.13	5.49	1.53	3.02	3.75	1.71	1.59	1.04	0.76	0.12
ENSG00000136643	ENSMUSG00000089872	RPS6KC1	5.26	16.99	2.22	5.57	6.77	6.47	60.34	7.67	7.97	1.0
ENSG00000136807	ENSMUSG00000009555	CDK9	13.93	28.42	22.07	19.58	20.77	22.88	44.88	8.44	9.03	2.12
ENSG00000137193	ENSMUSG00000024014	PIM1	5.23	3.26	2.27	4.47	2.06	53.4	1.97	7.8	5.12	1.03
ENSG00000137275	ENSMUSG00000021408	RIPK1	4.09	1.71	5.01	2.39	4.81	7.38	2.89	1.13	2.76	2.34
ENSG00000137601	ENSMUSG00000031644	NEK1	1.54	7.24	2.03	6.9	0.8	3.72	12.75	1.58	3.87	0.84
ENSG00000137764	ENSMUSG00000058444	MAP2K5	2.76	13.34	3.93	9.79	2.44	6.56	15.58	6.0	6.89	1.44
ENSG00000137843	ENSMUSG00000074923	PAK6	4.73	10.3	0.02	3.33	0.92	3.6	35.21	0.12	3.64	0.0
ENSG00000138395	ENSMUSG00000026023	CDK15	0.1	0.0	0.05	0.09	0.0	0.01	0.61	0.17	0.02	0.0
ENSG00000138669	ENSMUSG00000029334	PRKG2	0.01	1.3	0.01	0.0	0.0	1.89	4.21	0.22	0.09	0.0
ENSG00000138696	ENSMUSG00000052430	BMPR1B	1.8	8.4	0.37	0.83	2.87	0.18	9.68	3.44	0.06	0.0
ENSG00000138756	ENSMUSG00000034663	BMP2K	6.58	9.87	5.66	17.19	6.98	8.5	6.82	5.95	2.69	0.77
ENSG00000138769	ENSMUSG00000029403	CDKL2	0.4	7.56	0.05	0.16	0.01	2.65	14.78	3.1	1.84	0.4
ENSG00000139567	ENSMUSG00000000530	ACVRL1	18.53	2.55	2.83	8.29	22.09	8.16	8.69	3.94	11.26	0.32
ENSG00000139908	ENSMUSG00000007591	TSSK4	0.0	0.13	0.14	0.0	0.0	0.18	0.41	0.04	0.17	0.01
ENSG00000140474	ENSMUSG00000032308	ULK3	10.5	17.96	9.46	11.97	20.29	3.85	14.62	1.62	3.73	0.49
ENSG00000140795	ENSMUSG00000031698	MYLK3	0.08	0.36	0.03	113.72	2.04	0.14	1.39	0.81	195.93	0.06
ENSG00000140992	ENSMUSG00000024122	PDPK1	7.93	26.87	10.89	19.52	14.53	17.02	60.4	17.86	16.01	2.14
ENSG00000141503	ENSMUSG00000020827	MINK1	11.87	49.48	13.54	13.76	8.36	15.52	193.46	16.0	19.33	1.19
ENSG00000141551	ENSMUSG00000025162	CSNK1D	12.47	33.88	19.73	32.25	22.76	33.73	51.67	21.05	19.83	3.07
ENSG00000141639	ENSMUSG00000024558	MAPK4	12.26	14.55	0.1	16.13	1.01	0.1	48.7	0.17	2.02	0.03
ENSG00000142149	ENSMUSG00000053414	HUNK	0.28	3.62	0.22	0.04	0.0	0.89	9.05	0.1	0.16	0.08
ENSG00000142178	ENSMUSG00000024042	SIK1	0.09	2.24	2.51	5.76	0.0	25.62	6.85	9.44	20.35	0.29
ENSG00000142186	ENSMUSG00000024941	SCYL1	34.09	24.78	26.86	26.36	52.69	28.87	43.63	35.1	22.2	3.13
ENSG00000142208	ENSMUSG00000001729	AKT1	39.43	20.16	35.8	63.12	23.02	57.38	77.98	17.22	77.73	3.45
ENSG00000142731	ENSMUSG00000025758	PLK4	0.48	1.31	0.12	0.3	0.0	1.89	2.09	0.19	0.34	0.13
ENSG00000142733	ENSMUSG00000028862	MAP3K6	4.69	5.62	2.84	8.74	6.82	10.7	2.77	1.81	9.08	0.14
ENSG00000142875	ENSMUSG00000005034	PRKACB	8.6	126.87	6.6	20.3	1.71	31.2	196.79	17.55	26.6	3.81
ENSG00000143479	ENSMUSG00000016526	DYRK3	1.2	1.05	1.76	4.91	0.42	2.21	3.58	0.0	0.08	0.14
ENSG00000143674	ENSMUSG00000031853	MAP3K21	1.91	1.81	1.87	0.1	0.03	0.07	1.07	0.04	0.36	0.42
ENSG00000143776	ENSMUSG00000026490	CDC42BPA	10.22	34.13	5.76	12.82	6.98	15.05	121.58	11.35	17.39	2.68
